objectId,week,dayIndex,timeSlotIndex,duration,numberOfCalls,date,timeSlotLabel
CallType-5,0,0,17,199,15,29/03/2010,8h30
CallType-5,0,0,18,191,8,29/03/2010,9h
CallType-5,0,0,19,207,66,29/03/2010,9h30
CallType-5,0,0,20,252,32,29/03/2010,10h
CallType-5,0,0,21,230,53,29/03/2010,10h30
CallType-5,0,0,22,219,95,29/03/2010,11h
CallType-5,0,0,23,218,153,29/03/2010,11h30
CallType-5,0,0,24,229,34,29/03/2010,12h
CallType-5,0,0,25,231,34,29/03/2010,12h30
CallType-5,0,0,26,233,32,29/03/2010,13h
CallType-5,0,0,27,299,23,29/03/2010,13h30
CallType-5,0,0,28,288,85,29/03/2010,14h
CallType-5,0,0,29,299,72,29/03/2010,14h30
CallType-5,0,0,30,226,81,29/03/2010,15h
CallType-5,0,0,31,267,36,29/03/2010,15h30
CallType-5,0,0,32,229,59,29/03/2010,16h
CallType-5,0,0,33,201,36,29/03/2010,16h30
CallType-5,0,0,34,239,49,29/03/2010,17h
CallType-5,0,0,35,279,61,29/03/2010,17h30
CallType-5,0,0,36,334,36,29/03/2010,18h
CallType-5,0,0,37,288,25,29/03/2010,18h30
CallType-5,0,1,17,173,13,30/03/2010,8h30
CallType-5,0,1,18,236,42,30/03/2010,9h
CallType-5,0,1,19,236,23,30/03/2010,9h30
CallType-5,0,1,20,171,36,30/03/2010,10h
CallType-5,0,1,21,172,78,30/03/2010,10h30
CallType-5,0,1,22,235,81,30/03/2010,11h
CallType-5,0,1,23,216,123,30/03/2010,11h30
CallType-5,0,1,24,182,42,30/03/2010,12h
CallType-5,0,1,25,252,38,30/03/2010,12h30
CallType-5,0,1,26,248,72,30/03/2010,13h
CallType-5,0,1,27,216,68,30/03/2010,13h30
CallType-5,0,1,28,260,93,30/03/2010,14h
CallType-5,0,1,29,224,70,30/03/2010,14h30
CallType-5,0,1,30,192,64,30/03/2010,15h
CallType-5,0,1,31,202,55,30/03/2010,15h30
CallType-5,0,1,32,238,59,30/03/2010,16h
CallType-5,0,1,33,200,72,30/03/2010,16h30
CallType-5,0,1,34,264,30,30/03/2010,17h
CallType-5,0,1,35,390,21,30/03/2010,17h30
CallType-5,0,1,36,186,32,30/03/2010,18h
CallType-5,0,1,37,225,19,30/03/2010,18h30
CallType-5,0,2,17,192,38,31/03/2010,8h30
CallType-5,0,2,18,214,57,31/03/2010,9h
CallType-5,0,2,19,229,81,31/03/2010,9h30
CallType-5,0,2,20,251,61,31/03/2010,10h
CallType-5,0,2,21,223,53,31/03/2010,10h30
CallType-5,0,2,22,208,108,31/03/2010,11h
