objectId,week,dayIndex,timeSlotIndex,numberCalls,date,timeSlotLabel
CallType-5,0,0,17,15,29/03/2010,8h30
CallType-5,0,0,18,8,29/03/2010,9h
CallType-5,0,0,19,66,29/03/2010,9h30
CallType-5,0,0,20,32,29/03/2010,10h
CallType-5,0,0,21,53,29/03/2010,10h30
CallType-5,0,0,22,95,29/03/2010,11h
CallType-5,0,0,23,153,29/03/2010,11h30
CallType-5,0,0,24,34,29/03/2010,12h
CallType-5,0,0,25,34,29/03/2010,12h30
CallType-5,0,0,26,32,29/03/2010,13h
CallType-5,0,0,27,23,29/03/2010,13h30
CallType-5,0,0,28,85,29/03/2010,14h
CallType-5,0,0,29,72,29/03/2010,14h30
CallType-5,0,0,30,81,29/03/2010,15h
CallType-5,0,0,31,36,29/03/2010,15h30
CallType-5,0,0,32,59,29/03/2010,16h
CallType-5,0,0,33,36,29/03/2010,16h30
CallType-5,0,0,34,49,29/03/2010,17h
CallType-5,0,0,35,61,29/03/2010,17h30
CallType-5,0,0,36,36,29/03/2010,18h
CallType-5,0,0,37,25,29/03/2010,18h30
CallType-5,0,1,17,13,30/03/2010,8h30
CallType-5,0,1,18,42,30/03/2010,9h
CallType-5,0,1,19,23,30/03/2010,9h30
CallType-5,0,1,20,36,30/03/2010,10h
CallType-5,0,1,21,78,30/03/2010,10h30
CallType-5,0,1,22,81,30/03/2010,11h
CallType-5,0,1,23,123,30/03/2010,11h30
CallType-5,0,1,24,42,30/03/2010,12h
CallType-5,0,1,25,38,30/03/2010,12h30
CallType-5,0,1,26,72,30/03/2010,13h
CallType-5,0,1,27,68,30/03/2010,13h30
CallType-5,0,1,28,93,30/03/2010,14h
CallType-5,0,1,29,70,30/03/2010,14h30
CallType-5,0,1,30,64,30/03/2010,15h
CallType-5,0,1,31,55,30/03/2010,15h30
CallType-5,0,1,32,59,30/03/2010,16h
CallType-5,0,1,33,72,30/03/2010,16h30
CallType-5,0,1,34,30,30/03/2010,17h
CallType-5,0,1,35,21,30/03/2010,17h30
CallType-5,0,1,36,32,30/03/2010,18h
CallType-5,0,1,37,19,30/03/2010,18h30
CallType-5,0,2,17,38,31/03/2010,8h30
