// Comma Separated Value file for the table LOADS
// It must fill columns:
// LOAD,PERIOD
1196,1
1193,2
1191,3
1193,4
1207,5
1243,6
1293,7
1337,8
1383,9
1411,10
1430,11
1440,12
1433,13
1437,14
1437,15
1431,16
1414,17
1389,18
1363,19
1350,20
1357,21
1351,22
1329,23
1306,24
1289,25
1277,26
1264,27
1255,28
1257,29
1285,30
1328,31
1361,32
1394,33
1417,34
1436,35
1440,36
1432,37
1434,38
1432,39
1422,40
1407,41
1386,42
1364,43
1354,44
1362,45
1356,46
1334,47
1310,48
1289,49
1276,50
1264,51
1254,52
1256,53
1285,54
1327,55
1360,56
1394,57
1417,58
1436,59
1441,60
1433,61
1435,62
1433,63
1423,64
1408,65
1388,66
1365,67
1355,68
1363,69
1357,70
1335,71
1311,72
1289,73
1277,74
1265,75
1255,76
1258,77
1286,78
1329,79
1362,80
1396,81
1420,82
1439,83
1443,84
1435,85
1437,86
1435,87
1425,88
1410,89
1389,90
1367,91
1356,92
1364,93
1359,94
1336,95
1313,96
1295,97
1281,98
1269,99
1264,100
1269,101
1294,102
1338,103
1368,104
1402,105
1427,106
1446,107
1448,108
1437,109
1439,110
1434,111
1422,112
1411,113
1385,114
1358,115
1340,116
1345,117
1333,118
1307,119
1282,120
1259,121
1245,122
1231,123
1221,124
1216,125
1224,126
1236,127
1243,128
1262,129
1280,130
1294,131
1302,132
1300,133
1294,134
1287,135
1279,136
1275,137
1265,138
1255,139
1246,140
1244,141
1235,142
1219,143
1199,144
1184,145
1172,146
1163,147
1162,148
1158,149
1160,150
1164,151
1160,152
1174,153
1191,154
1205,155
1220,156
1227,157
1232,158
1235,159
1235,160
1233,161
1230,162
1217,163
1205,164
1207,165
1215,166
1211,167
1207,168
