// Comma Separated Value file for the table UNITS
// It must fill columns:
// NAME,TYPE,INIT_PROD_LEVEL,MIN_GENERATION,MAX_GENERATION,OPERATING_MAX_GEN,MIN_UP,MIN_DOWN,RAMP_UP,RAMP_DOWN,START_UP_COST,CONSTANT_COST,LINEAR_COST,CO_2_COST
"COAL_1","Coal",400.0,100.0,425.0,400.0,15,9,212.0,183.0,5000.0,208.6068,22.5363,30.0
"COAL_2","Coal",350.0,140.0,365.0,350.0,15,8,150.0,198.0,4550.0,117.3716667,31.9848,30.0
"GAS_1","Gas",205.0,78.0,220.0,205.0,6,7,101.2,95.6,1320.0,174.1173333,70.5,5.0
"GAS_2","Gas",52.0,52.0,210.0,197.0,5,4,94.8,101.7,1291.0,172.754,69.0,5.0
"GAS_3","Gas",155.0,54.25,165.0,155.0,5,3,58.0,77.5,1280.0,95.35253334,32.1462,5.0
"GAS_4","Gas",150.0,39.0,158.0,150.0,4,2,50.0,60.0,1105.0,144.5168,54.84,5.0
"DIESEL_1","Diesel",78.0,17.4,90.0,78.0,3,2,40.0,24.0,560.0,54.41726666,40.2219,15.0
"DIESEL_2","Diesel",76.0,15.2,87.0,76.0,3,2,60.0,45.0,554.0,54.5506,40.5219,15.0
"DIESEL_3","Diesel",0.0,4.0,20.0,20.0,1,1,20.0,20.0,300.0,79.6384,116.331,15.0
"DIESEL_4","Diesel",0.0,2.4,12.0,12.0,1,1,12.0,12.0,250.0,16.2594,76.6416,15.0
