Periods,Baseline
Mon-00,1196.0
Mon-01,1193.0
Mon-02,1191.0
Mon-03,1193.0
Mon-04,1207.0
Mon-05,1243.0
Mon-06,1293.0
Mon-07,1337.0
Mon-08,1383.0
Mon-09,1411.0
Mon-10,1430.0
Mon-11,1440.0
Mon-12,1433.0
Mon-13,1437.0
Mon-14,1437.0
Mon-15,1431.0
Mon-16,1414.0
Mon-17,1389.0
Mon-18,1363.0
Mon-19,1350.0
Mon-20,1357.0
Mon-21,1351.0
Mon-22,1329.0
Mon-23,1306.0
Tue-00,1289.0
Tue-01,1277.0
Tue-02,1264.0
Tue-03,1255.0
Tue-04,1257.0
Tue-05,1285.0
Tue-06,1328.0
Tue-07,1361.0
Tue-08,1394.0
Tue-09,1417.0
Tue-10,1436.0
Tue-11,1440.0
Tue-12,1432.0
Tue-13,1434.0
Tue-14,1432.0
Tue-15,1422.0
Tue-16,1407.0
Tue-17,1386.0
Tue-18,1364.0
Tue-19,1354.0
Tue-20,1362.0
Tue-21,1356.0
Tue-22,1334.0
Tue-23,1310.0
Wed-00,1289.0
Wed-01,1276.0
Wed-02,1264.0
Wed-03,1254.0
Wed-04,1256.0
Wed-05,1285.0
Wed-06,1327.0
Wed-07,1360.0
Wed-08,1394.0
Wed-09,1417.0
Wed-10,1436.0
Wed-11,1441.0
Wed-12,1433.0
Wed-13,1435.0
Wed-14,1433.0
Wed-15,1423.0
Wed-16,1408.0
Wed-17,1388.0
Wed-18,1365.0
Wed-19,1355.0
Wed-20,1363.0
Wed-21,1357.0
Wed-22,1335.0
Wed-23,1311.0
Thu-00,1289.0
Thu-01,1277.0
Thu-02,1265.0
Thu-03,1255.0
Thu-04,1258.0
Thu-05,1286.0
Thu-06,1329.0
Thu-07,1362.0
Thu-08,1396.0
Thu-09,1420.0
Thu-10,1439.0
Thu-11,1443.0
Thu-12,1435.0
Thu-13,1437.0
Thu-14,1435.0
Thu-15,1425.0
Thu-16,1410.0
Thu-17,1389.0
Thu-18,1367.0
Thu-19,1356.0
Thu-20,1364.0
Thu-21,1359.0
Thu-22,1336.0
Thu-23,1313.0
Fri-00,1295.0
Fri-01,1281.0
Fri-02,1269.0
Fri-03,1264.0
Fri-04,1269.0
Fri-05,1294.0
Fri-06,1338.0
Fri-07,1368.0
Fri-08,1402.0
Fri-09,1427.0
Fri-10,1446.0
Fri-11,1448.0
Fri-12,1437.0
Fri-13,1439.0
Fri-14,1434.0
Fri-15,1422.0
Fri-16,1411.0
Fri-17,1385.0
Fri-18,1358.0
Fri-19,1340.0
Fri-20,1345.0
Fri-21,1333.0
Fri-22,1307.0
Fri-23,1282.0
Sat-00,1259.0
Sat-01,1245.0
Sat-02,1231.0
Sat-03,1221.0
Sat-04,1216.0
Sat-05,1224.0
Sat-06,1236.0
Sat-07,1243.0
Sat-08,1262.0
Sat-09,1280.0
Sat-10,1294.0
Sat-11,1302.0
Sat-12,1300.0
Sat-13,1294.0
Sat-14,1287.0
Sat-15,1279.0
Sat-16,1275.0
Sat-17,1265.0
Sat-18,1255.0
Sat-19,1246.0
Sat-20,1244.0
Sat-21,1235.0
Sat-22,1219.0
Sat-23,1199.0
Sun-00,1184.0
Sun-01,1172.0
Sun-02,1163.0
Sun-03,1162.0
Sun-04,1158.0
Sun-05,1160.0
Sun-06,1164.0
Sun-07,1160.0
Sun-08,1174.0
Sun-09,1191.0
Sun-10,1205.0
Sun-11,1220.0
Sun-12,1227.0
Sun-13,1232.0
Sun-14,1235.0
Sun-15,1235.0
Sun-16,1233.0
Sun-17,1230.0
Sun-18,1217.0
Sun-19,1205.0
Sun-20,1207.0
Sun-21,1215.0
Sun-22,1211.0
Sun-23,1207.0
