Units,Periods,Baseline
COAL_1,Mon-00,0.0
COAL_1,Mon-01,0.0
COAL_1,Mon-02,0.0
COAL_1,Mon-03,0.0
COAL_1,Mon-04,0.0
COAL_1,Mon-05,0.0
COAL_1,Mon-06,0.0
COAL_1,Mon-07,0.0
COAL_1,Mon-08,0.0
COAL_1,Mon-09,0.0
COAL_1,Mon-10,0.0
COAL_1,Mon-11,0.0
COAL_1,Mon-12,0.0
COAL_1,Mon-13,0.0
COAL_1,Mon-14,0.0
COAL_1,Mon-15,0.0
COAL_1,Mon-16,0.0
COAL_1,Mon-17,0.0
COAL_1,Mon-18,0.0
COAL_1,Mon-19,0.0
COAL_1,Mon-20,0.0
COAL_1,Mon-21,0.0
COAL_1,Mon-22,0.0
COAL_1,Mon-23,0.0
COAL_1,Tue-00,0.0
COAL_1,Tue-01,0.0
COAL_1,Tue-02,0.0
COAL_1,Tue-03,0.0
COAL_1,Tue-04,0.0
COAL_1,Tue-05,0.0
COAL_1,Tue-06,0.0
COAL_1,Tue-07,0.0
COAL_1,Tue-08,0.0
COAL_1,Tue-09,0.0
COAL_1,Tue-10,0.0
COAL_1,Tue-11,0.0
COAL_1,Tue-12,0.0
COAL_1,Tue-13,0.0
COAL_1,Tue-14,0.0
COAL_1,Tue-15,0.0
COAL_1,Tue-16,0.0
COAL_1,Tue-17,0.0
COAL_1,Tue-18,0.0
COAL_1,Tue-19,0.0
COAL_1,Tue-20,0.0
COAL_1,Tue-21,0.0
COAL_1,Tue-22,0.0
COAL_1,Tue-23,0.0
COAL_1,Wed-00,0.0
COAL_1,Wed-01,0.0
COAL_1,Wed-02,0.0
COAL_1,Wed-03,0.0
COAL_1,Wed-04,0.0
COAL_1,Wed-05,0.0
COAL_1,Wed-06,0.0
COAL_1,Wed-07,0.0
COAL_1,Wed-08,0.0
COAL_1,Wed-09,0.0
COAL_1,Wed-10,0.0
COAL_1,Wed-11,0.0
COAL_1,Wed-12,0.0
COAL_1,Wed-13,0.0
COAL_1,Wed-14,0.0
COAL_1,Wed-15,0.0
COAL_1,Wed-16,0.0
COAL_1,Wed-17,0.0
COAL_1,Wed-18,0.0
COAL_1,Wed-19,0.0
COAL_1,Wed-20,0.0
COAL_1,Wed-21,0.0
COAL_1,Wed-22,0.0
COAL_1,Wed-23,0.0
COAL_1,Thu-00,0.0
COAL_1,Thu-01,0.0
COAL_1,Thu-02,0.0
COAL_1,Thu-03,0.0
COAL_1,Thu-04,0.0
COAL_1,Thu-05,0.0
COAL_1,Thu-06,0.0
COAL_1,Thu-07,0.0
COAL_1,Thu-08,0.0
COAL_1,Thu-09,0.0
COAL_1,Thu-10,0.0
COAL_1,Thu-11,0.0
COAL_1,Thu-12,0.0
COAL_1,Thu-13,0.0
COAL_1,Thu-14,0.0
COAL_1,Thu-15,0.0
COAL_1,Thu-16,0.0
COAL_1,Thu-17,0.0
COAL_1,Thu-18,0.0
COAL_1,Thu-19,0.0
COAL_1,Thu-20,0.0
COAL_1,Thu-21,0.0
COAL_1,Thu-22,0.0
COAL_1,Thu-23,0.0
COAL_1,Fri-00,0.0
COAL_1,Fri-01,0.0
COAL_1,Fri-02,0.0
