idcity,id
Malden MA 02148,02148
Medford MA 02155,02155
Quincy MA 02169,02169
Brockton MA 02301,02301
Bristol CT 06010,06010
Manchester CT 06040,06040
Milford CT 06460,06460
New Haven CT 06511,06511
Stamford CT 06902,06902
Bayonne NJ 07002,07002
Passaic NJ 07055,07055
Union City NJ 07087,07087
West New York NJ 07093,07093
Irvington NJ 07111,07111
Jersey City NJ 07305,07305
Wayne NJ 07470,07470
Lakewood NJ 08701,08701
Toms River NJ 08753,08753
Piscataway NJ 08854,08854
New York NY 10025,10025
Staten Island NY 10314,10314
Bronx NY 10467,10467
Yonkers NY 10701,10701
Brooklyn NY 11226,11226
Flushing NY 11355,11355
Corona NY 11368,11368
Jackson Heights NY 11372,11372
Elmhurst NY 11373,11373
Forest Hills NY 11375,11375
Woodside NY 11377,11377
Ridgewood NY 11385,11385
Jamaica NY 11434,11434
Hempstead NY 11550,11550
Far Rockaway NY 11691,11691
Bay Shore NY 11706,11706
Huntington Station NY 11746,11746
Massapequa NY 11758,11758
Troy NY 12180,12180
Newburgh NY 12550,12550
Buffalo NY 14221,14221
Ithaca NY 14850,14850
Greensburg PA 15601,15601
Carlisle PA 17013,17013
Mechanicsburg PA 17055,17055
York PA 17404,17404
Lancaster PA 17603,17603
Allentown PA 18103,18103
Bensalem PA 19020,19020
Morrisville PA 19067,19067
Philadelphia PA 19143,19143
West Chester PA 19382,19382
Newark DE 19711,19711
New Castle DE 19720,19720
Washington DC 20011,20011
Fort Washington MD 20744,20744
Potomac MD 20854,20854
Gaithersburg MD 20878,20878
Silver Spring MD 20906,20906
Pasadena MD 21122,21122
Baltimore MD 21215,21215
Parkville MD 21234,21234
Hagerstown MD 21740,21740
Annandale VA 22003,22003
Dale City VA 22193,22193
Stafford VA 22554,22554
Chesapeake VA 23322,23322
Virginia Beach VA 23456,23456
Goose Creek SC 29445,29445
Decatur GA 30032,30032
Lawrenceville GA 30044,30044
Lilburn GA 30047,30047
Lithonia GA 30058,30058
Marietta GA 30062,30062
Duluth GA 30096,30096
Atlanta GA 30349,30349
Augusta GA 30906,30906
Martinez GA 30907,30907
Columbus GA 31907,31907
Orange Park FL 32073,32073
Jacksonville FL 32210,32210
Winter Park FL 32792,32792
Hialeah FL 33012,33012
Hollywood FL 33024,33024
Lighthouse Point FL 33064,33064
Pompano Beach FL 33065,33065
Perrine FL 33157,33157
Miami FL 33165,33165
Fort Lauderdale FL 33311,33311
Clarksville TN 37042,37042
Nashville TN 37211,37211
Memphis TN 38109,38109
Newark OH 43055,43055
Westerville OH 43081,43081
Lancaster OH 43130,43130
Marion OH 43302,43302
Zanesville OH 43701,43701
Elyria OH 44035,44035
Mentor OH 44060,44060
Painesville OH 44077,44077
Lakewood OH 44107,44107
Cleveland OH 44130,44130
Hamilton OH 45011,45011
Huber Heights OH 45424,45424
Chillicothe OH 45601,45601
Findlay OH 45840,45840
Indianapolis IN 46227,46227
West Lafayette IN 47906,47906
Roseville MI 48066,48066
Ann Arbor MI 48103,48103
Taylor MI 48180,48180
Westland MI 48185,48185
Canton MI 48187,48187
Ypsilanti MI 48197,48197
Detroit MI 48227,48227
Wyoming MI 49509,49509
Apple Valley MN 55124,55124
Arlington Heights IL 60004,60004
Des Plaines IL 60016,60016
Mount Prospect IL 60056,60056
Palatine IL 60067,60067
Waukegan IL 60085,60085
Bartlett IL 60103,60103
Elgin IL 60123,60123
Lombard IL 60148,60148
Wheaton IL 60187,60187
Berwyn IL 60402,60402
Chicago Heights IL 60411,60411
Shorewood IL 60435,60435
Lockport IL 60441,60441
Oak Lawn IL 60453,60453
Tinley Park IL 60477,60477
Aurora IL 60505,60505
Chicago IL 60623,60623
Cicero IL 60804,60804
Quincy IL 62301,62301
Ballwin MO 63021,63021
Florissant MO 63031,63031
Saint Louis MO 63129,63129
Jennings MO 63136,63136
O Fallon MO 63366,63366
Saint Peters MO 63376,63376
Springfield MO 65807,65807
Olathe KS 66062,66062
Kenner LA 70065,70065
Marrero LA 70072,70072
New Orleans LA 70117,70117
Conway AR 72032,72032
Plano TX 75023,75023
Grand Prairie TX 75052,75052
Mesquite TX 75150,75150
Dallas TX 75217,75217
North Richland Hills TX 76180,76180
Houston TX 77084,77084
Sugar Land TX 77478,77478
San Antonio TX 78250,78250
McAllen TX 78501,78501
Brownsville TX 78521,78521
Edinburg TX 78539,78539
Harlingen TX 78550,78550
Mission TX 78572,78572
Pharr TX 78577,78577
Weslaco TX 78596,78596
San Marcos TX 78666,78666
Austin TX 78745,78745
El Paso TX 79936,79936
Aurora CO 80013,80013
Littleton CO 80126,80126
Denver CO 80219,80219
Longmont CO 80501,80501
Colorado Springs CO 80906,80906
Kearns UT 84118,84118
Provo UT 84604,84604
Phoenix AZ 85032,85032
Mesa AZ 85204,85204
Chandler AZ 85225,85225
Scottsdale AZ 85254,85254
Tempe AZ 85282,85282
Glendale AZ 85308,85308
Yuma AZ 85364,85364
Tucson AZ 85706,85706
Albuquerque NM 87111,87111
Rio Rancho NM 87124,87124
Santa Fe NM 87505,87505
Roswell NM 88201,88201
Henderson NV 89014,89014
Las Vegas NV 89108,89108
Los Angeles CA 90011,90011
Bell CA 90201,90201
Compton CA 90221,90221
Hawthorne CA 90250,90250
Huntington Park CA 90255,90255
Lynwood CA 90262,90262
South Gate CA 90280,90280
Cypress CA 90630,90630
La Habra CA 90631,90631
Montebello CA 90640,90640
Norwalk CA 90650,90650
Pico Rivera CA 90660,90660
Cerritos CA 90703,90703
Bellflower CA 90706,90706
Paramount CA 90723,90723
San Pedro CA 90731,90731
Wilmington CA 90744,90744
Carson CA 90745,90745
Long Beach CA 90805,90805
Pacoima CA 91331,91331
Reseda CA 91335,91335
Sylmar CA 91342,91342
North Hills CA 91343,91343
Granada Hills CA 91344,91344
Canyon Country CA 91351,91351
Panorama City CA 91402,91402
North Hollywood CA 91605,91605
Azusa CA 91702,91702
Baldwin Park CA 91706,91706
Chino Hills CA 91709,91709
Chino CA 91710,91710
Rancho Cucamonga CA 91730,91730
El Monte CA 91732,91732
La Puente CA 91744,91744
Hacienda Heights CA 91745,91745
Ontario CA 91761,91761
Pomona CA 91766,91766
Rosemead CA 91770,91770
Alhambra CA 91801,91801
Chula Vista CA 91911,91911
National City CA 91950,91950
Spring Valley CA 91977,91977
El Cajon CA 92021,92021
Oceanside CA 92054,92054
San Marcos CA 92069,92069
Santee CA 92071,92071
Vista CA 92083,92083
San Diego CA 92126,92126
Fontana CA 92335,92335
Hesperia CA 92345,92345
Rialto CA 92376,92376
Victorville CA 92392,92392
San Bernardino CA 92404,92404
Riverside CA 92503,92503
Rubidoux CA 92509,92509
Moreno Valley CA 92553,92553
Costa Mesa CA 92627,92627
Lake Forest CA 92630,92630
Huntington Beach CA 92646,92646
Laguna Niguel CA 92677,92677
Westminster CA 92683,92683
Santa Ana CA 92704,92704
Fountain Valley CA 92708,92708
Tustin CA 92780,92780
Anaheim CA 92804,92804
Placentia CA 92870,92870
Corona CA 92882,92882
Oxnard CA 93030,93030
Simi Valley CA 93065,93065
Porterville CA 93257,93257
Tulare CA 93274,93274
Bakersfield CA 93309,93309
Lancaster CA 93535,93535
Palmdale CA 93550,93550
Fresno CA 93722,93722
Daly City CA 94015,94015
South San Francisco CA 94080,94080
Sunnyvale CA 94086,94086
San Francisco CA 94110,94110
Alameda CA 94501,94501
Antioch CA 94509,94509
Fairfield CA 94533,94533
Fremont CA 94536,94536
Hayward CA 94544,94544
Livermore CA 94550,94550
Martinez CA 94553,94553
Napa CA 94558,94558
Pittsburg CA 94565,94565
Union City CA 94587,94587
Oakland CA 94601,94601
San Pablo CA 94806,94806
Cupertino CA 95014,95014
Milpitas CA 95035,95035
Santa Clara CA 95051,95051
Watsonville CA 95076,95076
San Jose CA 95123,95123
Stockton CA 95207,95207
Merced CA 95340,95340
Modesto CA 95350,95350
Tracy CA 95376,95376
Carmichael CA 95608,95608
Davis CA 95616,95616
Vacaville CA 95687,95687
Sacramento CA 95823,95823
Beaverton OR 97007,97007
Salem OR 97301,97301
Albany OR 97321,97321
Kent WA 98031,98031
Redmond WA 98052,98052
Bellingham WA 98226,98226
