dcId,customerId,costPerUnit
02301,02148,42.94
06010,02148,197.68
07087,02148,342.81
10025,02148,337.21
19143,02148,496.27
21234,02148,640.02
27406,02148,1156.33
29445,02148,1466.61
30044,02148,1641.46
32203,02148,1837.18
35215,02148,1909.38
38109,02148,2050.35
40601,02148,1410.18
44035,02148,1029.54
45401,02148,1272.83
47906,02148,1494.43
48180,02148,1120.91
52001,02148,1794.30
53511,02148,1645.23
60623,02148,1535.08
63376,02148,1895.76
74012,02148,2495.95
75221,02148,2790.40
80126,02148,3181.67
85032,02148,4107.34
90201,02148,4661.76
94104,02148,4843.08
97301,02148,4604.27
02301,02155,41.43
06010,02155,191.09
07087,02155,336.36
10025,02155,330.77
19143,02155,489.86
21234,02155,633.54
27406,02155,1150.03
29445,02155,1460.72
30044,02155,1635.01
32203,02155,1831.36
35215,02155,1902.83
38109,02155,2043.76
40601,02155,1403.62
44035,02155,1023.33
45401,02155,1266.40
47906,02155,1488.20
48180,02155,1115.00
52001,02155,1788.61
53511,02155,1639.51
60623,02155,1529.18
63376,02155,1889.43
74012,02155,2489.53
75221,02155,2783.84
80126,02155,3175.88
85032,02155,4101.22
90201,02155,4655.86
94104,02155,4837.64
97301,02155,4599.67
02301,02169,18.61
06010,02169,191.12
07087,02169,332.45
10025,02169,326.77
19143,02169,485.12
21234,02169,629.71
27406,02169,1143.62
29445,02169,1450.55
30044,02169,1630.54
32203,02169,1820.68
35215,02169,1900.38
38109,02169,2045.60
40601,02169,1406.72
44035,02169,1031.94
45401,02169,1272.20
47906,02169,1496.51
48180,02169,1126.04
52001,02169,1801.02
53511,02169,1651.79
60623,02169,1540.19
63376,02169,1896.54
74012,02169,2495.43
75221,02169,2786.99
80126,02169,3187.55
85032,02169,4110.38
90201,02169,4666.76
94104,02169,4851.32
97301,02169,4616.83
02301,02301,0.00
06010,02301,186.05
07087,02301,323.65
10025,02301,317.92
19143,02301,475.42
21234,02301,620.50
27406,02301,1132.44
29445,02301,1436.95
30044,02301,1620.58
32203,02301,1806.74
35215,02301,1891.79
38109,02301,2040.15
40601,02301,1402.31
44035,02301,1032.09
45401,02301,1269.96
47906,02301,1496.28
48180,02301,1128.25
52001,02301,1804.34
53511,02301,1654.99
60623,02301,1542.29
63376,02301,1895.27
74012,02301,2493.11
75221,02301,2782.48
80126,02301,3190.10
85032,02301,4110.72
90201,02301,4668.59
94104,02301,4855.68
97301,02301,4624.64
02301,06010,186.05
06010,06010,0.00
07087,06010,149.57
10025,06010,144.33
19143,06010,303.00
21234,06010,444.44
27406,06010,964.63
29445,06010,1286.15
30044,06010,1445.94
32203,06010,1658.21
35215,06010,1712.00
38109,06010,1854.53
40601,06010,1216.26
44035,06010,852.76
45401,06010,1085.33
47906,06010,1315.43
48180,06010,955.97
52001,06010,1635.50
53511,06010,1485.89
60623,06010,1368.74
63376,06010,1711.97
74012,06010,2308.19
75221,06010,2596.45
80126,06010,3017.22
85032,06010,3930.59
90201,06010,4492.80
94104,06010,4690.09
97301,06010,4479.16
02301,06040,144.12
06010,06040,41.96
07087,06040,187.31
10025,06040,181.84
19143,06040,341.13
21234,06040,483.91
27406,06040,1002.45
29445,06040,1320.11
30044,06040,1485.51
32203,06040,1691.81
35215,06040,1752.74
38109,06040,1896.45
40601,06040,1258.21
44035,06040,892.60
45401,06040,1126.75
47906,06040,1355.78
48180,06040,993.89
52001,06040,1672.72
53511,06040,1523.14
60623,06040,1407.13
63376,06040,1753.03
74012,06040,2349.72
75221,06040,2638.40
80126,06040,3055.61
85032,06040,3970.84
90201,06040,4531.96
